id,category,price_tier,neighbourhood,opening_time,closing_time,average_rating,good_for_kids
911,Burmese,expensive,Upper West Side,11:34,4:05,3.51,0
912,Thai,expensive,Union Square,11:55,7:48,4.01,1
913,Mediterranean,cheap,Hell's Kitchen,8:47,15:02,4.56,1
914,Somali,cheap,East Village,11:27,11:42,3.69,1
915,American,expensive,Union Square,11:31,13:57,2.16,1
916,Mexican,medium,Koreatown,13:36,2:36,2.8,1
917,Somali,medium,Williamsburg,13:36,9:58,3.38,0
918,French,medium,Tribeca,12:30,3:15,2.14,0
919,Mediterranean,cheap,Hell's Kitchen,8:32,4:27,3.38,0
920,Chinese,medium,Harlem,9:54,12:54,3.55,1
921,Indian,expensive,Koreatown,8:59,7:10,1.33,0
922,Japanese,expensive,Astoria,13:15,19:10,4.75,1
923,Greek,cheap,Tribeca,12:23,7:02,3.9,1
924,Somali,cheap,Hell's Kitchen,10:27,4:55,2.19,0
925,Burmese,cheap,Greenwich Village,13:50,3:35,4.67,0
926,Italian,expensive,Chelsea,12:41,6:26,3.17,1
927,Burmese,medium,Gramercy,12:48,17:11,3.07,1
928,Mexican,cheap,Williamsburg,8:45,10:58,1.91,0
929,Thai,expensive,East Village,10:11,3:38,5.0,1
930,Italian,cheap,Park Slope,10:40,15:39,1.03,1
931,Burmese,expensive,SoHo,10:16,12:51,3.13,1
932,Japanese,medium,Greenwich Village,9:15,7:24,4.41,0
933,Somali,cheap,Gramercy,9:26,14:04,4.22,0
934,Italian,cheap,Dumbo,12:24,14:20,4.84,0
935,Greek,cheap,Chinatown,9:45,2:29,3.29,0
936,Chinese,cheap,Harlem,12:57,9:14,2.57,0
937,Mediterranean,expensive,Brooklyn Heights,11:08,11:18,1.16,0
938,Italian,medium,East Village,13:19,17:05,3.14,1
939,American,cheap,Upper West Side,11:38,10:08,3.38,0
940,American,expensive,Brooklyn Heights,8:54,8:17,3.64,0
941,Chinese,cheap,Chelsea,13:09,18:13,4.24,1
942,American,medium,FiDi,13:26,5:39,4.57,1
943,Ethiopian,expensive,Tribeca,9:31,18:41,4.74,0
944,Greek,medium,Astoria,8:31,11:42,3.78,0
945,Italian,cheap,Tribeca,13:04,13:50,2.06,1
946,Greek,cheap,Harlem,11:50,15:24,1.42,0
947,Burmese,expensive,Upper West Side,10:56,11:49,1.37,1
948,Ethiopian,cheap,Dumbo,9:57,2:38,2.51,1
949,Burmese,medium,Upper East Side,11:27,18:34,1.68,1
950,Somali,expensive,Park Slope,9:43,8:20,2.96,0
951,Italian,cheap,FiDi,11:36,6:22,1.42,0
952,Ethiopian,medium,Long Island City,9:31,8:51,4.68,0
953,Greek,cheap,Astoria,9:23,5:31,2.46,1
954,Indian,cheap,Astoria,10:55,5:22,4.85,0
955,Mediterranean,medium,Harlem,12:32,13:31,3.41,0
956,Greek,medium,Long Island City,13:42,7:54,3.02,1
957,Mediterranean,medium,Williamsburg,10:10,11:46,3.65,0
958,Thai,expensive,Greenwich Village,12:34,11:50,3.88,1
959,Somali,cheap,Chelsea,9:44,18:08,3.7,0
960,Burmese,medium,Harlem,9:36,13:03,3.73,1
961,Indian,expensive,Union Square,13:20,17:26,4.94,1
962,Chinese,cheap,Chinatown,10:19,15:39,4.15,0
963,Mediterranean,cheap,Astoria,10:39,10:54,1.64,0
964,Greek,expensive,Tribeca,10:11,2:26,1.79,1
965,Ethiopian,expensive,SoHo,13:56,13:25,1.28,0
966,Mediterranean,expensive,Upper East Side,8:50,6:24,2.72,1
967,Greek,expensive,East Village,8:52,6:44,4.61,0
968,Italian,cheap,FiDi,9:19,16:48,1.93,1
969,Italian,expensive,Brooklyn Heights,12:40,9:54,4.3,1
970,Thai,cheap,Greenwich Village,9:00,17:00,2.56,1
971,Italian,cheap,Upper East Side,10:07,15:05,1.06,1
972,Somali,cheap,East Village,9:11,10:47,2.65,1
973,American,medium,Harlem,10:46,10:49,2.56,1
974,Mediterranean,cheap,Chelsea,10:38,14:09,2.42,1
975,French,medium,Hell's Kitchen,11:41,14:42,2.73,0
976,American,cheap,Greenwich Village,10:28,18:01,2.42,0
977,American,medium,Williamsburg,9:26,3:03,2.38,0
978,American,expensive,Brooklyn Heights,11:42,19:26,4.14,1
979,Mediterranean,expensive,Park Slope,10:40,5:47,2.12,1
980,American,expensive,Upper East Side,11:18,7:15,2.28,1
981,Chinese,cheap,Astoria,10:43,13:47,4.73,0
982,Thai,medium,FiDi,10:09,12:08,1.77,1
983,Thai,expensive,SoHo,12:54,12:51,4.08,1
984,Somali,expensive,Union Square,13:52,9:01,2.32,1
985,Somali,medium,Brooklyn Heights,9:08,13:54,1.31,0
986,Japanese,expensive,Chelsea,10:02,19:27,2.9,1
987,Burmese,expensive,East Village,12:21,9:28,2.55,1
988,American,medium,Gramercy,10:03,6:04,3.22,0
989,American,medium,Brooklyn Heights,9:00,3:29,2.26,0
990,French,cheap,Dumbo,10:46,14:29,2.37,0
991,Somali,expensive,Astoria,11:18,8:31,3.88,1
992,Thai,cheap,Brooklyn Heights,10:09,17:03,3.01,0
993,Chinese,expensive,Harlem,9:22,9:51,4.12,1
994,Chinese,cheap,SoHo,11:11,3:49,3.91,1
995,Ethiopian,expensive,Gramercy,9:48,15:49,1.78,0
996,French,medium,Park Slope,9:05,3:59,1.68,0
997,Chinese,cheap,East Village,10:00,11:49,3.54,0
998,Mediterranean,medium,FiDi,11:11,2:43,3.34,1
999,Mexican,medium,Gramercy,11:51,13:03,1.76,1
1000,Greek,expensive,Greenwich Village,13:37,19:34,1.49,0
